Palabra,Conteo
hi,1
super,1
nintendo,1
chalmers,1
marriage,1
is,5
like,4
a,7
coffin,1
and,3
each,1
kid,1
another,1
nail,1
doughnuts,1
i,6
told,1
you,6
don't,2
ethnic,1
food,1
shoplifting,1
victimless,1
crime,1
punching,1
someone,1
in,4
the,6
dark,1
why,2
are,2
pleople,2
avoiding,2
me,3
does,2
my,3
withered,2
face,2
remind,2
of,4
grim,2
specter,2
death,2
you're,1
turning,1
into,1
criminal,1
when,1
all,2
want,1
to,1
be,1
petty,1
thug,1
this,1
snack,1
holder,1
where,1
can,1
put,1
beverage,1
or,1
if,1
will,1
cupcake,1
can't,1
even,2
say,1
word,1
'titmouse',1
without,1
gigggling,1
schoolgirl,1
think,1
women,1
seamen,1
mix,1
back,1
edinburg,1
we,2
had,1
coal,1
miners,1
strike,1
wanted,1
were,1
hats,1
with,1
wee,1
light,1
on,1
top,1
then,1
one,2
day,1
mine,1
collapsed,1
no,1
made,1
it,1
out,1
alive,1
not,1
willie,1
theory,2
communism,1
works,1
